,H0_standard_dz_0_003,standard_dz_0_003,H0_standard_dz_0_03,standard_dz_0_03,H0_corrected_dz_0_003,corrected_dz_0_003,H0_corrected_dz_0_03,corrected_dz_0_03,H0_perfz,perfz
525,70.51051051051051,0.08274164677733754,70.51051051051051,8.289127777951617e-13,70.25525525525525,0.6160759472507862,70.51051051051051,0.17235075067339667,70.25525525525525,0.4827495423671861
526,70.53053053053053,0.06790439090836528,70.53053053053053,1.0137112991884272e-12,70.26526526526527,0.5939694409149299,70.53053053053053,0.1728958799478174,70.26526526526527,0.4528084241214888
527,70.55055055055055,0.05537300288370177,70.55055055055055,1.2387848441040513e-12,70.27527527527528,0.5721195989283299,70.55055055055055,0.17342718255926384,70.27527527527528,0.4240238978741523
528,70.57057057057057,0.04486678509802285,70.57057057057057,1.5127057360420864e-12,70.28528528528528,0.550557362291318,70.57057057057057,0.17394454654152247,70.28528528528528,0.39641436104969663
529,70.5905905905906,0.0361225683907149,70.5905905905906,1.8458262389355084e-12,70.29529529529529,0.5293117051638729,70.5905905905906,0.17444786352939531,70.29529529529529,0.3699914044548801
530,70.6106106106106,0.02889743027744507,70.6106106106106,2.2506386401085046e-12,70.30530530530531,0.5084096031323674,70.6106106106106,0.17493702879533665,70.30530530530531,0.34476018133656194
531,70.63063063063063,0.022970312118444598,70.63063063063063,2.7422062004014784e-12,70.31531531531532,0.4878760119553033,70.63063063063063,0.17541194128509602,70.31531531531532,0.3207198034248925
532,70.65065065065065,0.018142693952260352,70.65065065065065,3.338678516259776e-12,70.32532532532532,0.46773385648605215,70.65065065065065,0.1758725036496445,70.32532532532532,0.29786375837212153
533,70.67067067067067,0.014238492015333483,70.67067067067067,4.061907347458029e-12,70.33533533533533,0.4480040294264606,70.67067067067067,0.17631862227815143,70.33533533533533,0.2761803431499064
534,70.69069069069069,0.011103341508953278,70.69069069069069,4.938181922176243e-12,70.34534534534535,0.4287053995096102,70.69069069069069,0.1767502073278908,70.34534534534535,0.25565310815884484
535,70.71071071071071,0.00860341785675116,70.71071071071071,5.999106215944911e-12,70.35535535535536,0.40985482866304435,70.71071071071071,0.1771671727512515,70.35535535535536,0.23626130705419804
536,70.73073073073073,0.006623935411839097,70.73073073073073,7.282644802763263e-12,70.36536536536536,0.3914671976780417,70.73073073073073,0.17756943632347133,70.36536536536536,0.21798034759165863
537,70.75075075075075,0.005067445098445645,70.75075075075075,8.8343687007839e-12,70.37537537537537,0.3735554398596677,70.75075075075075,0.17795691966712565,70.37537537537537,0.2007822391254979
538,70.77077077077077,0.003852033383707022,70.77077077077077,1.0708938303594244e-11,70.38538538538539,0.3561305821168393,70.77077077077077,0.17832954827508926,70.38538538538539,0.18463603276092388
539,70.7907907907908,0.0029095055902136316,70.7907907907908,1.297186714373166e-11,70.3953953953954,0.3392017929244657,70.7907907907908,0.1786872515321657,70.3953953953954,0.16950825054799853
540,70.8108108108108,0.0021836179195549423,70.8108108108108,1.570161804264567e-11,70.4054054054054,0.3227764365691587,70.8108108108108,0.17902996273488658,70.4054054054054,0.15536330050624966
541,70.83083083083083,0.0016284054214209477,70.83083083083083,1.8992092352786737e-11,70.41541541541541,0.30686013308280474,70.83083083083083,0.17935761910842757,70.41541541541541,0.14216387468534528
542,70.85085085085085,0.001206638010947425,70.85085085085085,2.2955583714702697e-11,70.42542542542543,0.2914568232547885,70.85085085085085,0.1796701618241425,70.42542542542543,0.12987132787702382
543,70.87087087087087,0.0008884237776109492,70.87087087087087,2.772628029262556e-11,70.43543543543544,0.27656883811649746,70.87087087087087,0.17996753601281967,70.43543543543544,0.11844603500776366
544,70.89089089089089,0.0006499683203196716,70.89089089089089,3.346441411321418e-11,70.44544544544544,0.26219697228893796,70.89089089089089,0.18024969077829467,70.44544544544544,0.10784772564065767
545,70.91091091091091,0.00047249061475731856,70.91091091091091,4.036117325847243e-11,70.45545545545545,0.24834056059303888,70.91091091091091,0.1805165792075792,70.45545545545545,0.09803579440291697
546,70.93093093093093,0.00034128979302876634,70.93093093093093,4.864451265200207e-11,70.46546546546547,0.23499755733172434,70.93093093093093,0.18076815837976176,70.46546546546547,0.08896958652333589
547,70.95095095095095,0.0002449529455292023,70.95095095095095,5.85860224867758e-11,70.47547547547548,0.22216461766672543,70.95095095095095,0.18100438937496016,70.47547547547548,0.08060865801069059
548,70.97097097097097,0.00017469135786917623,70.97097097097097,7.050904049977857e-11,70.48548548548548,0.2098371805307858,70.97097097097097,0.18122523727802856,70.48548548548548,0.07291301032594802
549,70.990990990991,0.00012379117892306315,70.990990990991,8.479822591352004e-11,70.49549549549549,0.19800955253599611,70.990990990991,0.18143067118374748,70.49549549549549,0.06584329969319687
550,71.011011011011,8.716409729461076e-05,71.011011011011,1.0191084963476718e-10,70.50550550550551,0.1866749923643625,71.011011011011,0.18162066419842007,70.50550550550551,0.05936102146158306
551,71.03103103103103,6.098392457000042e-05,71.03103103103103,1.2239009803248364e-10,70.51551551551552,0.17582579514984611,71.03103103103103,0.18179519344035586,70.51551551551552,0.05342867016379256
552,71.05105105105105,4.23958193284232e-05,71.05105105105105,1.4688073723092943e-10,70.52552552552552,0.16545337639046248,71.05105105105105,0.18195424003861763,70.52552552552552,0.04800987612122263
553,71.07107107107107,2.928604743543933e-05,71.07107107107107,1.761475424109333e-10,70.53553553553553,0.15554835496010816,71.07107107107107,0.18209778913025548,70.53553553553553,0.04306951962040971
554,71.09109109109109,2.0101510405770508e-05,71.09109109109109,2.110969633227283e-10,70.54554554554555,0.14610063481813534,71.09109109109109,0.1822258298545025,70.54554554554555,0.03857382382984658
555,71.11111111111111,1.3709668592081838e-05,71.11111111111111,2.528025744687405e-10,70.55555555555556,0.13709948504911157,71.11111111111111,0.18233835534825954,70.55555555555556,0.03449042773928486
