,CI_standard_dz_0_003,Frac_in_CI_standard_dz_0_003,CI_standard_dz_0_03,Frac_in_CI_standard_dz_0_03,CI_corrected_dz_0_003,Frac_in_CI_corrected_dz_0_003,CI_corrected_dz_0_03,Frac_in_CI_corrected_dz_0_03,CI_perfz,Frac_in_CI_perfz
72,0.4190326104277824,0.7227722772277227,0.0020464360780383874,0.7227722772277227,0.6782263336499587,0.7227722772277227,0.7768574336199386,0.7227722772277227,0.7315982179004239,0.7227722772277227
73,0.4284958007277372,0.7326732673267327,0.0020532189975678364,0.7326732673267327,0.6795858364354668,0.7326732673267327,0.7798893412733832,0.7326732673267327,0.7352489861694461,0.7326732673267327
74,0.4497147159971539,0.7425742574257426,0.0020580349247378343,0.7425742574257426,0.6927973549350877,0.7425742574257426,0.7882296338101911,0.7425742574257426,0.7406441623246484,0.7425742574257426
75,0.45846565374897746,0.7524752475247525,0.0021489977482510546,0.7524752475247525,0.7146589745751727,0.7524752475247525,0.7918962437385566,0.7524752475247525,0.7423136089991746,0.7524752475247525
76,0.4936244815572517,0.7623762376237624,0.00218288196734814,0.7623762376237624,0.7296168084616325,0.7623762376237624,0.8006153577086815,0.7623762376237624,0.7517240256053447,0.7623762376237624
77,0.49631633045240287,0.7722772277227723,0.00257592770896336,0.7722772277227723,0.7387200517214545,0.7722772277227723,0.8247915095640128,0.7722772277227723,0.7621510606953188,0.7722772277227723
78,0.5028306866498773,0.7821782178217822,0.0026796904430610525,0.7821782178217822,0.7391053572837366,0.7821782178217822,0.8248313880911666,0.7821782178217822,0.7751132144320051,0.7821782178217822
79,0.5212567653914689,0.7920792079207921,0.0029578256498454508,0.7920792079207921,0.7423483589964948,0.7920792079207921,0.8365014297384636,0.7920792079207921,0.7905082744453015,0.7920792079207921
80,0.5256931116377869,0.801980198019802,0.002963899188172875,0.801980198019802,0.7658673328897995,0.801980198019802,0.837024356969544,0.801980198019802,0.8048813691803253,0.801980198019802
81,0.5339632100043034,0.8118811881188119,0.0030044002361931115,0.8118811881188119,0.771338950723511,0.8118811881188119,0.8370922347770803,0.8118811881188119,0.8335625114470295,0.8118811881188119
82,0.5519076846976885,0.8217821782178217,0.0031403647075184476,0.8217821782178217,0.7785978358290778,0.8217821782178217,0.850445591989418,0.8217821782178217,0.8521399000003044,0.8217821782178217
83,0.5912477494507749,0.8316831683168316,0.0031474093493007757,0.8316831683168316,0.7814120516921793,0.8316831683168316,0.8597202570537227,0.8316831683168316,0.8657000864331935,0.8316831683168316
84,0.5956256498504473,0.8415841584158416,0.003503414180577997,0.8415841584158416,0.7938172820253822,0.8415841584158416,0.8683091310049735,0.8415841584158416,0.8799545012898172,0.8415841584158416
85,0.5980585887538062,0.8514851485148515,0.003728306206384176,0.8514851485148515,0.8116743908524806,0.8514851485148515,0.8776598020841251,0.8514851485148515,0.8871340598558607,0.8514851485148515
86,0.5996367512970243,0.8613861386138614,0.004014564871865697,0.8613861386138614,0.8144752126884471,0.8613861386138614,0.8923092389638231,0.8613861386138614,0.889721279778208,0.8613861386138614
